AGRN,Start date,End date,Duration,State,Disaster Types
1031,29/05/2022,01/06/2022,3,WA,Flood
1032,07/09/2022,15/09/2022,8,QLD,"Storm, Flood"
1033,29/08/2022,,,VIC,Flood
1034,14/09/2022,,,NSW,"Storm, Flood"
1035,21/05/2022,24/05/2022,3,WA,Flood
1036,22/09/2022,23/09/2022,1,QLD,"Storm, Flood"
1037,06/10/2022,13/01/2023,99,VIC,"Storm, Flood"
1038,13/10/2022,,,TAS,"Storm, Flood"
1039,13/08/2022,15/08/2022,2,TAS,Flood
1040,,,,QLD,"Storm, Flood"
1041,01/08/2022,03/08/2022,2,WA,Flood
1042,15/11/2022,,,SA,Flood
1043,,,,NT,Storm
1044,28/12/2022,,,WA,"Storm, Flood"
1045,,,,NT,"Flood, Cyclone"
1046,20/12/2022,30/04/2023,131,QLD,"Storm, Flood"
1050,30/11/2022,01/12/2022,1,QLD,Flood
1047,03/02/2023,,,NSW,"Storm, Flood"
1048,30/01/2023,24/03/2023,53,QLD,Bushfire
1049,09/02/2023,,,NSW,Storm
1051,,,,NT,Flood
1052,06/03/2023,,,NSW,Bushfire
1053,18/01/2023,,,NSW,Bushfire
1054,01/03/2023,,,NSW,Bushfire
1055,17/02/2023,,,NSW,Bushfire
1056,16/03/2023,,,NSW,Bushfire
1057,12/03/2023,,,NSW,"Storm, Flood"
1058,14/01/2023,,,VIC,"Storm, Tornado"
1059,13/04/2023,,,WA,Cyclone
1060,23/03/2023,,,VIC,"Storm, Flood, Landslide"
1061,25/03/2023,26/03/2023,1,WA,"Storm, Flood"
1062,29/03/2023,04/04/2023,6,WA,"Storm, Flood"
1063,07/06/2023,,,VIC,Storm
1064,16/04/2023,18/04/2023,2,NT,Flood
1065,25/01/2023,,,NSW,Bushfire
1066,11/02/2023,,,NSW,Bushfire
1067,04/07/2023,07/07/2023,3,QLD,Flood
1068,,,,NT,Bushfire
1069,08/09/2023,,,VIC,Storm
1070,03/10/2023,,,NSW,Bushfire
1071,21/08/2023,,,NSW,Bushfire
1072,03/10/2023,,,VIC,Flood
1073,29/09/2023,,,VIC,Bushfire
1075,13/10/2023,,,NSW,Bushfire
1076,16/10/2023,,,NSW,Bushfire
1077,17/10/2023,,,NSW,Bushfire
1078,08/09/2023,07/11/2023,60,QLD,Bushfire
1079,18/10/2023,08/12/2023,51,QLD,Bushfire
1080,19/11/2023,01/12/2023,12,QLD,Bushfire
1081,14/11/2023,,,NSW,Bushfire
1082,22/11/2023,,,WA,Bushfire
1083,02/10/2023,10/10/2023,8,NSW,Bushfire
1084,02/10/2023,,,NSW,Bushfire
1085,16/09/2023,24/09/2023,8,QLD,Bushfire
1086,28/11/2023,,,NSW,Flood
1087,28/11/2023,,,VIC,Storm
1088,13/12/2023,28/12/2023,15,QLD,"Flood, Cyclone"
1089,20/09/2023,06/10/2023,16,NSW,Bushfire
1090,20/09/2023,09/10/2023,19,NSW,Bushfire
1091,22/10/2023,05/11/2023,14,NSW,Bushfire
1092,14/12/2023,,,NSW,Bushfire
1093,08/12/2023,,,NSW,Bushfire
1094,24/12/2023,03/01/2024,10,QLD,Storm
1095,13/12/2023,,,VIC,Storm
1096,24/12/2023,,,VIC,"Storm, Flood"
1097,20/11/2023,01/12/2023,11,QLD,Flood
1098,15/12/2023,16/12/2023,1,QLD,Storm
1099,11/09/2023,18/10/2023,37,NSW,Bushfire
1100,25/12/2023,,,NSW,"Storm, Flood"
1101,31/12/2023,,,NSW,"Storm, Flood"
1110,08/12/2023,12/12/2023,4,SA,"Storm, Flood"
1111,08/12/2023,13/12/2023,5,ACT,Storm
1112,09/12/2023,24/12/2023,15,NSW,Bushfire
1114,07/12/2023,24/12/2023,17,NSW,Bushfire
1115,23/10/2023,01/11/2023,9,QLD,Bushfire
1117,19/12/2023,21/12/2023,2,ACT,Storm
1131,10/08/2023,17/08/2023,7,NSW,Bushfire
1132,20/09/2023,04/10/2023,14,NSW,Bushfire
1133,01/10/2023,18/10/2023,17,NSW,Bushfire
1134,26/10/2023,04/11/2023,9,NSW,Bushfire
1135,14/10/2023,05/11/2023,22,NSW,Bushfire
1136,11/11/2023,17/11/2023,6,NSW,Bushfire
1137,19/11/2023,27/11/2023,8,NSW,Bushfire
1138,04/12/2023,15/12/2023,11,NSW,Bushfire
1139,06/12/2023,16/12/2023,10,NSW,Bushfire
1140,08/12/2023,18/12/2023,10,NSW,Bushfire
1102,25/01/2024,26/02/2024,32,QLD,"Flood, Cyclone, Rainfall"
